"","Address","lon","lat"
"1"," , OR",-111.6946475,40.2968979
"2","ALAMEDA , OR",-122.6377152,45.5494065
"3","ARBOR LODGE , OR",-122.6925082,45.572647
"4","ARDENWALD , OR",-122.629816,45.4553972
"5","ARGAY , OR",-122.5225523,45.5533188
"6","ARLINGTON HGHTS , OR",-122.7115557,45.5211269
"7","ARNOLD CREEK , OR",-122.701542,45.4382586
"8","ASHCREEK , OR",-122.7349968,45.4642927
"9","BEAUMONT-WILSHR , OR",-122.6220337,45.5531101
"10","BEAVERTON - FIVE OAKS 3C , OR",-122.8458441,45.5255525
"11","BOISE , OR",-122.6722049,45.5515145
"12","BRENTWD-DARLNGT , OR",-122.5987732,45.4711796
"13","BRIDGETON , OR",-122.6692636,45.601784
"14","BRIDLEMILE , OR",-122.7103744,45.4931737
"15","BROOKLYN , OR",-122.6562375,45.4948228
"16","BUCKMAN-EAST , OR",-122.649625,45.5179732
"17","BUCKMAN-WEST , OR",-122.649625,45.5179732
"18","CATHEDRAL PARK , OR",-122.7624777,45.58749
"19","CENTENNIAL , OR",-122.4950564,45.506898
"20","CENTRAL BEAVERTON , OR",-122.8102083,45.4874176
"21","CHINA/OLD TOWN , OR",-122.6740295,45.5246175
"22","COLLINS VIEW , OR",-122.677012,45.4526939
"23","CONCORDIA , OR",NA,NA
"24","CRESTWOOD , OR",-122.7290548,45.4543771
"25","CRSTN-KENILWTH , OR",-122.6273987,45.4935454
"26","CULLY , OR",-122.6066627,45.565921
"27","DOWNTOWN , OR",-122.6801343,45.5134542
"28","DWRW , OR",NA,NA
"29","E COLUMBIA , OR",-123.0357231,45.9197103
"30","EASTMORELAND , OR",-122.6323638,45.4761921
"31","ELIOT , OR",-122.6670951,45.5386791
"32","FAR SOUTHWEST , OR",-122.7367745,45.4374475
"33","FOREST PARK , OR",-122.7745698,45.5753725
"34","FOSTER-POWELL , OR",-122.5921356,45.4943139
"35","GLENFAIR , OR",-122.5048694,45.5234724
"36","GOOSE HOLLOW , OR",-122.693328,45.5184277
"37","GRANT PARK , OR",-122.6289843,45.5390473
"38","GRESHAM - A.S.E.R.T. , OR",-122.4203702,45.4925841
"39","GRESHAM - CENTENNIAL EAST , OR",-122.4950564,45.506898
"40","GRESHAM - DOWNTOWN , OR",-122.4302013,45.5001357
"41","GRESHAM - HOLLYBROOK , OR",-122.452809,45.4914623
"42","GRESHAM - KELLY CREEK , OR",-122.384625,45.4801741
"43","GRESHAM - MT. HOOD , OR",-122.4080758,45.484681
"44","GRESHAM - NORTH CENTRAL , OR",-122.4665254,45.5448736
"45","GRESHAM - NORTH GRESHAM , OR",-122.439332,45.515515
"46","GRESHAM - NORTHEAST GRESH , OR",-122.4302013,45.5001357
"47","GRESHAM - NORTHWEST GRESH , OR",-122.4302013,45.5001357
"48","GRESHAM - ROCKWOOD GROUP , OR",-122.4358124,45.5065834
"49","GRESHAM - SOUTHWEST GRESH , OR",-122.4302013,45.5001357
"50","GRESHAM - WILKES EAST , OR",-122.4858445,45.5387265
"51","HAYDEN ISLAND , OR",-122.7017681,45.6223771
"52","HAYHURST , OR",-122.7300731,45.4816465
"53","HAZELWOOD , OR",-122.5377168,45.5264029
"54","HEALY HEIGHTS , OR",-122.6981446,45.4912422
"55","HILLSDALE , OR",-122.6908485,45.4758411
"56","HILLSIDE , OR",-122.7173332,45.5265074
"57","HOLLYWOOD , OR",-122.6185993,45.5344799
"58","HOMESTEAD , OR",NA,NA
"59","HOSFRD-ABRNETHY , OR",-122.6529322,45.5063965
"60","HUMBOLDT , OR",-122.6717047,45.5635203
"61","IRVINGTON , OR",-122.6520401,45.540396
"62","KENTON , OR",-122.6814858,45.5817841
"63","KERNS , OR",-122.6415366,45.5258232
"64","KING , OR",-122.6585013,45.5585387
"65","LAURELHURST , OR",-122.6238899,45.5262126
"66","LENTS , OR",-122.5627016,45.4748267
"67","LINNTON , OR",-122.7843271,45.5997934
